1,0,3,4,0,0,0,1,0
2,0,5,25,0,0,0,2,0
3,1,26,8,0,0,0,3,0
4,1,8,0,0,0,0,4,0
5,1,9,0,0,0,0,5,0
6,2,10,0,0,0,0,6,0
7,3,27,0,0,0,0,7,0
8,2,12,0,0,0,0,8,0
9,2,12,0,0,0,0,9,0
10,3,29,0,0,0,0,10,0
11,6,32,0,0,0,0,11,0
12,3,13,34,0,0,0,12,0
13,4,14,0,0,0,0,13,0
14,5,15,0,0,0,0,14,0
15,6,16,0,0,0,0,15,0
16,7,17,0,0,0,0,16,0
17,8,18,0,0,0,0,17,0
18,9,19,20,21,0,0,18,0
19,10,22,0,0,0,0,19,0
20,10,23,0,0,0,0,20,0
21,10,24,0,0,0,0,21,0
22,11,0,0,0,0,0,22,0
23,11,0,0,0,0,0,23,0
24,11,0,0,0,0,0,24,0
25,1,6,0,0,0,1,2,0
26,2,7,0,0,0,1,3,0
27,4,28,0,0,0,1,7,0
28,5,11,0,0,0,1,7,0
29,4,30,0,0,0,1,10,0
30,5,31,0,0,0,1,10,0
31,6,16,0,0,0,1,10,0
32,7,33,0,0,0,1,11,0
33,8,18,0,0,0,1,11,0
34,4,35,0,0,0,1,12,0
35,5,36,0,0,0,1,12,0
36,6,37,0,0,0,1,12,0
37,7,17,0,0,0,1,12,0
