1,2,0,3,0,6,0,10,0,0,0,0,0
2,4,0,0,0,0,0,0,0,1,2,0,1
3,5,0,0,0,0,0,0,0,1,1,0,1
4,11,0,0,0,0,0,0,0,2,3,0,1
5,7,0,0,0,0,0,0,0,2,2,0,1
6,9,0,0,0,0,0,0,0,2,2,0,1
7,11,0,0,0,0,0,0,0,3,3,0,1
8,12,0,17,0,19,0,0,0,3,3,0,0
9,13,0,0,0,0,0,0,0,3,3,0,1
10,14,0,0,0,0,0,0,0,3,3,0,1
11,15,0,0,0,0,0,0,0,4,4,0,1
12,15,0,0,0,0,0,0,0,4,4,0,1
13,16,0,0,0,0,0,0,0,4,4,0,1
14,16,0,0,0,0,0,0,0,4,4,0,1
15,17,0,18,0,0,0,0,0,5,5,0,1
16,18,0,0,0,0,0,0,0,5,5,0,1
17,0,0,0,0,0,0,0,0,6,6,0,1
18,19,0,0,0,0,0,0,0,6,6,0,1
19,0,0,0,0,0,0,0,0,7,7,0,1
