1,3,0,4,0,0,0,0,0,0,0,0,0
2,3,0,4,0,0,0,0,0,0,0,0,0
3,5,0,21,0,0,0,0,0,1,1,0,1
4,6,0,0,0,0,0,0,0,1,1,0,1
5,7,0,0,0,0,0,0,0,2,2,0,1
6,8,0,0,0,0,0,0,0,2,2,0,1
7,9,0,10,0,0,0,0,0,3,3,0,1
8,11,0,0,0,0,0,0,0,3,3,0,1
9,12,0,0,0,0,0,0,0,4,4,0,1
10,22,0,0,0,0,0,0,0,4,4,0,1
11,13,0,0,0,0,0,0,0,4,4,0,1
12,14,0,0,0,0,0,0,0,5,5,0,1
13,15,0,0,0,0,0,0,0,5,5,0,1
14,16,0,0,0,0,0,0,0,6,6,0,1
15,17,0,0,0,0,0,0,0,6,6,0,1
16,18,0,0,0,0,0,0,0,7,7,0,1
17,23,0,0,0,0,0,0,0,7,7,0,1
18,19,0,0,0,0,0,0,0,8,8,0,1
19,20,0,0,0,0,0,0,0,9,9,0,1
20,21,0,0,0,0,0,0,0,10,10,0,1
21,22,0,0,0,0,0,0,0,11,11,0,1
22,23,0,0,0,0,0,0,0,12,12,0,1
23,24,0,0,0,0,0,0,0,13,13,0,1
24,0,0,0,0,0,0,0,0,14,14,0,1
