1,0,4,0,0,0
2,0,5,0,0,0
3,0,6,0,0,0
4,1,10,0,0,0
5,1,11,0,0,0
6,1,12,0,0,0
7,1,10,0,0,0
8,1,12,0,0,0
9,1,11,0,0,0
10,2,35,13,14,0
11,2,15,16,36,0
12,2,17,18,37,0
13,3,19,0,0,0
14,3,20,0,0,0
15,3,19,0,0,0
16,3,20,0,0,0
17,3,21,0,0,0
18,3,23,0,0,0
19,4,23,0,0,0
20,4,22,0,0,0
21,4,22,0,0,0
22,5,29,24,0,0
23,5,33,0,0,0
24,6,25,0,0,0
25,7,26,0,0,0
26,8,27,0,0,0
27,9,28,0,0,0
28,10,29,0,0,0
29,11,30,0,0,0
30,12,31,0,0,0
31,13,32,0,0,0
32,14,33,0,0,0
33,15,34,0,0,0
34,16,35,36,37,0
35,17,38,0,0,0
36,17,39,0,0,0
37,17,40,0,0,0
38,18,41,0,0,0
39,18,42,0,0,0
40,18,43,0,0,0
41,19,0,0,0,0
42,19,0,0,0,0
43,19,0,0,0,0
