1,0,3,4,0,0,0,1,0
2,0,5,6,0,0,0,2,0
3,1,7,8,0,0,0,3,0
4,1,8,0,0,0,0,4,0
5,1,9,0,0,0,0,5,0
6,1,10,0,0,0,0,6,0
7,2,11,0,0,0,0,7,0
8,2,12,0,0,0,0,8,0
9,2,12,0,0,0,0,9,0
10,6,16,0,0,0,0,10,0
11,3,25,0,0,0,0,11,0
12,3,13,17,0,0,0,12,0
13,4,14,0,0,0,0,13,0
14,5,15,0,0,0,0,14,0
15,6,16,0,0,0,0,15,0
16,7,17,0,0,0,0,16,0
17,8,18,0,0,0,0,17,0
18,9,19,20,21,0,0,18,0
19,10,22,0,0,0,0,19,0
20,10,23,0,0,0,0,20,0
21,10,24,0,0,0,0,21,0
22,11,0,0,0,0,0,22,0
23,11,0,0,0,0,0,23,0
24,11,0,0,0,0,0,24,0
25,8,18,0,0,0,0,11,0
